symbol,base,quote,exchange,type,active
BGB/USD,BGB,USD,kraken,spot,True
BICO/EUR,BICO,EUR,kraken,spot,True
BICO/USD,BICO,USD,kraken,spot,True
BIGTIME/EUR,BIGTIME,EUR,kraken,spot,True
BIGTIME/USD,BIGTIME,USD,kraken,spot,True
BILLY/EUR,BILLY,EUR,kraken,spot,True
BILLY/USD,BILLY,USD,kraken,spot,True
BIO/EUR,BIO,EUR,kraken,spot,True
BIO/USD,BIO,USD,kraken,spot,True
BIT/EUR,BIT,EUR,kraken,spot,True
BIT/USD,BIT,USD,kraken,spot,True
BKS/EUR,BKS,EUR,kraken,spot,True
BKS/USD,BKS,USD,kraken,spot,True
BLESS/USD,BLESS,USD,kraken,spot,True
BLUAI/EUR,BLUAI,EUR,kraken,spot,True
BLUAI/USD,BLUAI,USD,kraken,spot,True
BLUE/EUR,BLUE,EUR,kraken,spot,True
BLUE/USD,BLUE,USD,kraken,spot,True
BLUR/EUR,BLUR,EUR,kraken,spot,True
BLUR/USD,BLUR,USD,kraken,spot,True
BLZ/EUR,BLZ,EUR,kraken,spot,True
BLZ/USD,BLZ,USD,kraken,spot,True
BMB/EUR,BMB,EUR,kraken,spot,False
BMB/USD,BMB,USD,kraken,spot,True
BMT/EUR,BMT,EUR,kraken,spot,True
BMT/USD,BMT,USD,kraken,spot,True
BNB/EUR,BNB,EUR,kraken,spot,True
BNB/USD,BNB,USD,kraken,spot,True
BNB/USDC,BNB,USDC,kraken,spot,True
BNB/USDT,BNB,USDT,kraken,spot,True
BNC/EUR,BNC,EUR,kraken,spot,True
BNC/USD,BNC,USD,kraken,spot,True
BNT/EUR,BNT,EUR,kraken,spot,True
BNT/USD,BNT,USD,kraken,spot,True
BOBA/EUR,BOBA,EUR,kraken,spot,True
BOBA/USD,BOBA,USD,kraken,spot,True
BOB/EUR,BOB,EUR,kraken,spot,True
BOB/USD,BOB,USD,kraken,spot,True
BODEN/EUR,BODEN,EUR,kraken,spot,True
BODEN/USD,BODEN,USD,kraken,spot,True
BOND/EUR,BOND,EUR,kraken,spot,True
BOND/USD,BOND,USD,kraken,spot,True
BONK/EUR,BONK,EUR,kraken,spot,True
BONK/USD,BONK,USD,kraken,spot,True
BONZO/USD,BONZO,USD,kraken,spot,False
BOS/EUR,BOS,EUR,kraken,spot,False
BOS/USD,BOS,USD,kraken,spot,True
BREV/EUR,BREV,EUR,kraken,spot,True
BREV/USD,BREV,USD,kraken,spot,True
BRL1/USD,BRL1,USD,kraken,spot,True
BSU/EUR,BSU,EUR,kraken,spot,False
BSU/USD,BSU,USD,kraken,spot,True
BSX/EUR,BSX,EUR,kraken,spot,True
BSX/USD,BSX,USD,kraken,spot,True
BTR/EUR,BTR,EUR,kraken,spot,True
BTR/USD,BTR,USD,kraken,spot,True
BTT/EUR,BTT,EUR,kraken,spot,True
BTT/USD,BTT,USD,kraken,spot,True
C98/EUR,C98,EUR,kraken,spot,True
C98/USD,C98,USD,kraken,spot,True
CAKE/EUR,CAKE,EUR,kraken,spot,True
CAKE/USD,CAKE,USD,kraken,spot,True
CAMP/EUR,CAMP,EUR,kraken,spot,True
CAMP/USD,CAMP,USD,kraken,spot,True
CARV/EUR,CARV,EUR,kraken,spot,True
CARV/USD,CARV,USD,kraken,spot,True
CASH/USD,CASH,USD,kraken,spot,True
CASH/USDC,CASH,USDC,kraken,spot,True
CAT/EUR,CAT,EUR,kraken,spot,True
CAT/USD,CAT,USD,kraken,spot,True
CCD/EUR,CCD,EUR,kraken,spot,True
CCD/USD,CCD,USD,kraken,spot,True
CC/EUR,CC,EUR,kraken,spot,True
CC/USD,CC,USD,kraken,spot,True
CC/USDC,CC,USDC,kraken,spot,True
CC/USDT,CC,USDT,kraken,spot,True
CELO/EUR,CELO,EUR,kraken,spot,True
CELO/USD,CELO,USD,kraken,spot,True
CELR/EUR,CELR,EUR,kraken,spot,True
CELR/USD,CELR,USD,kraken,spot,True
CFG/EUR,CFG,EUR,kraken,spot,True
CFG/USD,CFG,USD,kraken,spot,True
CFX/EUR,CFX,EUR,kraken,spot,True
CFX/USD,CFX,USD,kraken,spot,True
CGN/EUR,CGN,EUR,kraken,spot,False
CGN/USD,CGN,USD,kraken,spot,False
CHECK/EUR,CHECK,EUR,kraken,spot,True
CHECK/USD,CHECK,USD,kraken,spot,True
CHEEMS/EUR,CHEEMS,EUR,kraken,spot,True
CHEEMS/USD,CHEEMS,USD,kraken,spot,True
CHEX/EUR,CHEX,EUR,kraken,spot,True
CHEX/USD,CHEX,USD,kraken,spot,True
CHILLHOUSE/EUR,CHILLHOUSE,EUR,kraken,spot,True
CHILLHOUSE/USD,CHILLHOUSE,USD,kraken,spot,True
CHR/EUR,CHR,EUR,kraken,spot,True
CHR/USD,CHR,USD,kraken,spot,True
CHZ/EUR,CHZ,EUR,kraken,spot,True
CHZ/USD,CHZ,USD,kraken,spot,True
CLANKER/EUR,CLANKER,EUR,kraken,spot,True
CLANKER/USD,CLANKER,USD,kraken,spot,True
CLOUD/EUR,CLOUD,EUR,kraken,spot,True
CLOUD/USD,CLOUD,USD,kraken,spot,True
CLV/EUR,CLV,EUR,kraken,spot,True
CLV/USD,CLV,USD,kraken,spot,True
CMETH/ETH,CMETH,ETH,kraken,spot,True
CMETH/USD,CMETH,USD,kraken,spot,True
COMP/EUR,COMP,EUR,kraken,spot,True
COMP/USD,COMP,USD,kraken,spot,True
COMP/BTC,COMP,BTC,kraken,spot,True
COOKIE/EUR,COOKIE,EUR,kraken,spot,True
COOKIE/USD,COOKIE,USD,kraken,spot,True
COPM/USD,COPM,USD,kraken,spot,True
COQ/EUR,COQ,EUR,kraken,spot,True
COQ/USD,COQ,USD,kraken,spot,True
CORN/EUR,CORN,EUR,kraken,spot,True
CORN/USD,CORN,USD,kraken,spot,True
COTI/EUR,COTI,EUR,kraken,spot,True
COTI/USD,COTI,USD,kraken,spot,True
COW/EUR,COW,EUR,kraken,spot,True
COW/USD,COW,USD,kraken,spot,True
CPOOL/EUR,CPOOL,EUR,kraken,spot,True
CPOOL/USD,CPOOL,USD,kraken,spot,True
CQT/EUR,CQT,EUR,kraken,spot,True
CQT/USD,CQT,USD,kraken,spot,True
CRO/EUR,CRO,EUR,kraken,spot,True
CRO/USD,CRO,USD,kraken,spot,True
CRO/USDC,CRO,USDC,kraken,spot,True
CRO/USDT,CRO,USDT,kraken,spot,True
CRV/EUR,CRV,EUR,kraken,spot,True
CRV/USD,CRV,USD,kraken,spot,True
CTC/EUR,CTC,EUR,kraken,spot,True
CTC/USD,CTC,USD,kraken,spot,True
CTSI/EUR,CTSI,EUR,kraken,spot,True
CTSI/USD,CTSI,USD,kraken,spot,True
CVC/EUR,CVC,EUR,kraken,spot,True
CVC/USD,CVC,USD,kraken,spot,True
CVX/EUR,CVX,EUR,kraken,spot,True
CVX/USD,CVX,USD,kraken,spot,True
CXT/EUR,CXT,EUR,kraken,spot,True
CXT/USD,CXT,USD,kraken,spot,True
CYBER/EUR,CYBER,EUR,kraken,spot,True
CYBER/USD,CYBER,USD,kraken,spot,True
DAG/EUR,DAG,EUR,kraken,spot,True
DAG/USD,DAG,USD,kraken,spot,True
DAI/EUR,DAI,EUR,kraken,spot,True
DAI/USD,DAI,USD,kraken,spot,True
DAI/USDT,DAI,USDT,kraken,spot,True
DASH/EUR,DASH,EUR,kraken,spot,True
DASH/USD,DASH,USD,kraken,spot,True
DBR/EUR,DBR,EUR,kraken,spot,True
DBR/USD,DBR,USD,kraken,spot,True
DEEP/EUR,DEEP,EUR,kraken,spot,True
DEEP/USD,DEEP,USD,kraken,spot,True
DEGEN/EUR,DEGEN,EUR,kraken,spot,True
DEGEN/USD,DEGEN,USD,kraken,spot,True
