ticker,signal,confidence,strength,current_price,sma_20,sma_50,rsi,macd,atr,bb_upper,bb_lower,price_change_1d,price_change_7d,factors,asset_type,pair
CADJPY,SELL,56,Moderate,114.464,115.6568,114.4884,33.6,-0.0624,0.8403,117.3606,113.9529,0.11,-0.79,['MACD bearish crossover'],forex,CADJPY
NZDJPY,HOLD,50,Weak,90.888,92.4929,92.8115,25.88,-0.4476,0.7214,94.1723,90.8136,-0.35,-1.77,"['Price below 20 & 50 SMA (downtrend)', 'RSI oversold (25.9)', 'Mixed signals - insufficient conviction']",forex,NZDJPY
AUDNZD,HOLD,50,Weak,1.21,1.2033,1.1864,52.99,0.0046,0.0065,1.2163,1.1904,0.11,1.23,"['Price above 20 & 50 SMA (uptrend)', 'MACD bearish crossover', 'Mixed signals - insufficient conviction']",forex,AUDNZD
USDZAR,HOLD,50,Weak,16.92,16.8301,16.3614,56.27,0.1686,0.2854,17.3138,16.3463,-0.09,-0.92,"['Price above 20 & 50 SMA (uptrend)', 'MACD bearish crossover', 'Mixed signals - insufficient conviction']",forex,USDZAR
USDTRY,HOLD,50,Weak,44.5793,44.321,43.954,89.04,0.1719,0.0628,44.6321,44.01,0.05,0.28,"['Price above 20 & 50 SMA (uptrend)', 'RSI overbought (89.0)', 'Mixed signals - insufficient conviction']",forex,USDTRY
USDMXN,HOLD,50,Weak,17.855,17.824,17.5143,55.71,0.1015,0.2145,18.1089,17.5392,0.04,-0.33,"['Price above 20 & 50 SMA (uptrend)', 'MACD bearish crossover', 'Mixed signals - insufficient conviction']",forex,USDMXN
USDSGD,BUY,56,Moderate,1.2865,1.2811,1.2734,57.34,0.0034,0.0069,1.2914,1.2707,0.12,0.05,['Price above 20 & 50 SMA (uptrend)'],forex,USDSGD
USDHKD,BUY,56,Moderate,7.8358,7.8308,7.8207,55.91,0.0046,0.0094,7.8428,7.8188,-0.01,0.13,['Price above 20 & 50 SMA (uptrend)'],forex,USDHKD
USDNOK,BUY,56,Moderate,9.7586,9.6678,9.6192,55.98,0.0247,0.1131,9.81,9.5257,0.48,0.7,['Price above 20 & 50 SMA (uptrend)'],forex,USDNOK
USDSEK,BUY,56,Moderate,9.4784,9.3498,9.1327,51.6,0.0884,0.132,9.5626,9.1369,0.78,1.39,['Price above 20 & 50 SMA (uptrend)'],forex,USDSEK
USDDKK,HOLD,50,Weak,6.486,6.4732,6.3815,44.17,0.0223,0.0532,6.5338,6.4126,0.6,0.37,"['Price above 20 & 50 SMA (uptrend)', 'MACD bearish crossover', 'Mixed signals - insufficient conviction']",forex,USDDKK
USDPLN,HOLD,50,Weak,3.7125,3.6972,3.6252,51.46,0.021,0.0388,3.7435,3.6509,0.27,0.24,"['Price above 20 & 50 SMA (uptrend)', 'MACD bearish crossover', 'Mixed signals - insufficient conviction']",forex,USDPLN
USDHUF,SELL,56,Moderate,334.18,335.8001,327.3779,43.86,1.1526,5.9107,342.7375,328.8626,0.71,-0.12,['MACD bearish crossover'],forex,USDHUF
